Sector,Next_FY_StartYear,Predicted_Allocation_Cr,LastKnown_Allocation_Cr,Years_Used
Demand No. 85,2024,342900.0,240000.0,2
Demand No. 86,2024,341556.28,270250.38,2
Demand No. 6,2024,244984.42,175103.37,2
Demand No. 15,2024,188446.04,197868.57,2
Demand No. 21,2024,172830.39,162600.0,2
Demand No. 1,2024,92250.06,98980.03,2
Demand No. 76,2024,72833.38,40785.6,2
Demand No. 37,2024,55109.18,27554.59,2
Demand No. 60,2024,25388.9,26444.96,2
Demand No. 68,2024,22347.25,21852.55,2
Demand No. 79,2024,21012.04,16108.92,2
Demand No. 13,2024,18008.64,14843.32,2
Demand No. 27,2024,14204.38,12440.28,2
Demand No. 71,2024,12961.69,9874.81,2
Demand No. 95,2024,10696.82,11669.41,2
Demand No. 100,2024,10291.45,6618.49,2
Demand No. 23,2024,8930.08,5851.0,2
Demand No. 51,2024,8918.19,8947.39,2
Demand No. 48,2024,8910.79,6026.97,2
Demand No. 64,2024,8785.54,12434.82,2
Demand No. 19,2024,7455.0,6005.0,2
Demand No. 62,2024,7295.36,6258.11,2
Demand No. 11,2024,7053.67,7372.03,2
Demand No. 3,2024,6490.56,6963.19,2
Demand No. 29,2024,4947.16,5848.58,2
Demand No. 96,2024,4589.89,4558.5,2
Demand No. 92,2024,4556.74,2278.37,2
Demand No. 26,2024,4524.05,4968.03,2
Demand No. 7,2024,4082.5,3120.0,2
Demand No. 10,2024,3493.54,4351.47,2
Demand No. 44,2024,3064.42,2689.71,2
Demand No. 45,2024,2984.48,2453.24,2
Demand No. 2,2024,2850.99,2423.41,2
Demand No. 89,2024,2659.45,2777.0,2
Demand No. 46,2024,2477.32,8820.27,2
Demand No. 99,2024,2302.1,2286.22,2
Demand No. 24,2024,2266.76,2071.0,2
Demand No. 102,2024,1994.52,1913.51,2
Demand No. 12,2024,1801.12,1528.31,2
Demand No. 90,2024,1610.0,1645.0,2
Demand No. 70,2024,1598.09,2336.5,2
Demand No. 61,2024,1580.0,1105.0,2
Demand No. 49,2024,1387.0,1504.34,2
Demand No. 77,2024,1101.93,632.0,2
Demand No. 93,2024,984.22,976.86,2
Demand No. 28,2024,934.45,948.76,2
Demand No. 30,2024,846.99,3825.0,2
Demand No. 18,2024,768.93,650.74,2
Demand No. 94,2024,619.61,680.0,2
Demand No. 78,2024,533.77,578.03,2
Demand No. 25,2024,369.76,364.01,2
Demand No. 74,2024,198.5,226.75,2
Demand No. 47,2024,178.19,566.42,2
Demand No. 88,2024,152.25,195.75,2
Demand No. 4,2024,63.9,185.44,2
Demand No. 91,2024,51.06,45.03,2
Demand No. 97,2024,43.51,24.0,2
Demand No. 65,2024,39.02,40.01,2
Demand No. 87,2024,14.78,113.49,2
Demand No. 33,2024,11.27,9.91,2
Demand No. 16,2024,4.02,55.01,2
Demand No. 17,2024,-6.14,0.02,2
Demand No. 5,2024,-7.5,22.0,2
Demand No. 72,2024,-11.2,76.0,2
Demand No. 9,2024,-87.54,113.5,2
Demand No. 14,2024,-1372.0,113.5,2
Demand No. 32,2024,-3031.16,1024.64,2
Demand No. 98,2024,-4809.36,3603.78,2
Demand No. 8,2024,-7345.77,1277.09,2
