FY_StartYear,FY,Stage,Sector,Allocation_Cr
2021,2021-2022,Actuals,Demand No. 15,301729.45
2021,2021-2022,Actuals,Demand No. 6,153758.1
2021,2021-2022,Actuals,Demand No. 21,137986.97
2021,2021-2022,Actuals,Demand No. 86,123419.9
2021,2021-2022,Actuals,Demand No. 85,117270.53999999998
2021,2021-2022,Actuals,Demand No. 1,105368.87999999999
2021,2021-2022,Actuals,Demand No. 32,43825.78
2021,2021-2022,Actuals,Demand No. 60,28767.45
2021,2021-2022,Actuals,Demand No. 64,23164.99
2021,2021-2022,Actuals,Demand No. 79,18044.989999999998
2021,2021-2022,Actuals,Demand No. 68,15107.14
2021,2021-2022,Actuals,Demand No. 46,15097.44
2021,2021-2022,Actuals,Demand No. 13,11480.55
2021,2021-2022,Actuals,Demand No. 98,10995.909999999998
2021,2021-2022,Actuals,Demand No. 95,10612.58
2021,2021-2022,Actuals,Demand No. 11,7718.74
2021,2021-2022,Actuals,Demand No. 10,6632.05
2021,2021-2022,Actuals,Demand No. 51,5919.43
2021,2021-2022,Actuals,Demand No. 76,5491.33
2021,2021-2022,Actuals,Demand No. 29,4939.9
2021,2021-2022,Actuals,Demand No. 3,4650.97
2021,2021-2022,Actuals,Demand No. 27,4504.360000000001
2021,2021-2022,Actuals,Demand No. 19,4358.67
2021,2021-2022,Actuals,Demand No. 71,4143.46
2021,2021-2022,Actuals,Demand No. 26,3668.03
2021,2021-2022,Actuals,Demand No. 62,2839.25
2021,2021-2022,Actuals,Demand No. 70,2778.47
2021,2021-2022,Actuals,Demand No. 23,2620.34
2021,2021-2022,Actuals,Demand No. 8,2488.16
2021,2021-2022,Actuals,Demand No. 30,2353.76
2021,2021-2022,Actuals,Demand No. 2,2327.71
2021,2021-2022,Actuals,Demand No. 90,2131.09
2021,2021-2022,Actuals,Demand No. 14,2112.04
2021,2021-2022,Actuals,Demand No. 89,2047.31
2021,2021-2022,Actuals,Demand No. 96,1973.83
2021,2021-2022,Actuals,Demand No. 49,1742.27
2021,2021-2022,Actuals,Demand No. 100,1421.16
2021,2021-2022,Actuals,Demand No. 102,1257.99
2021,2021-2022,Actuals,Demand No. 12,1176.85
2021,2021-2022,Actuals,Demand No. 44,1163.88
2021,2021-2022,Actuals,Demand No. 24,977.3299999999999
2021,2021-2022,Actuals,Demand No. 77,926.35
2021,2021-2022,Actuals,Demand No. 48,850.69
2021,2021-2022,Actuals,Demand No. 47,813.34
2021,2021-2022,Actuals,Demand No. 28,762.45
2021,2021-2022,Actuals,Demand No. 45,722.76
2021,2021-2022,Actuals,Demand No. 99,686.84
2021,2021-2022,Actuals,Demand No. 93,608.7
2021,2021-2022,Actuals,Demand No. 78,588.55
2021,2021-2022,Actuals,Demand No. 7,578.39
2021,2021-2022,Actuals,Demand No. 94,556.49
2021,2021-2022,Actuals,Demand No. 9,496.08000000000004
2021,2021-2022,Actuals,Demand No. 61,452.66
2021,2021-2022,Actuals,Demand No. 18,436.2
2021,2021-2022,Actuals,Demand No. 25,252.78
2021,2021-2022,Actuals,Demand No. 88,250.02
2021,2021-2022,Actuals,Demand No. 87,204.82999999999998
2021,2021-2022,Actuals,Demand No. 4,192.14
2021,2021-2022,Actuals,Demand No. 72,139.99
2021,2021-2022,Actuals,Demand No. 65,138.25
2021,2021-2022,Actuals,Demand No. 74,120.63999999999999
2021,2021-2022,Actuals,Demand No. 5,54.71
2021,2021-2022,Actuals,Demand No. 91,30.13
2021,2021-2022,Actuals,Demand No. 33,6.79
2021,2021-2022,Actuals,Demand No. 97,6.13
2021,2021-2022,Actuals,Demand No. 17,4.63
2021,2021-2022,Actuals,Demand No. 16,0.0
2021,2021-2022,Actuals,Demand No. 37,0.0
2021,2021-2022,Actuals,Demand No. 92,0.0
2022,2022-2023,Revised Estimates,Demand No. 15,287642.46
2022,2022-2023,Revised Estimates,Demand No. 6,225222.31999999998
2022,2022-2023,Revised Estimates,Demand No. 86,216863.39
2022,2022-2023,Budget Estimates,Demand No. 15,207291.1
2022,2022-2023,Budget Estimates,Demand No. 86,198944.48
2022,2022-2023,Revised Estimates,Demand No. 85,159100.0
2022,2022-2023,Budget Estimates,Demand No. 21,152369.61000000002
2022,2022-2023,Revised Estimates,Demand No. 21,150000.0
2022,2022-2023,Budget Estimates,Demand No. 85,137100.0
2022,2022-2023,Budget Estimates,Demand No. 1,105710.0
2022,2022-2023,Budget Estimates,Demand No. 6,105222.32
2022,2022-2023,Revised Estimates,Demand No. 1,97296.97
2022,2022-2023,Revised Estimates,Demand No. 76,33732.73
2022,2022-2023,Budget Estimates,Demand No. 60,27501.02
2022,2022-2023,Revised Estimates,Demand No. 37,27109.72
2022,2022-2023,Revised Estimates,Demand No. 60,24211.03
2022,2022-2023,Budget Estimates,Demand No. 68,21357.85
2022,2022-2023,Budget Estimates,Demand No. 64,16084.1
2022,2022-2023,Revised Estimates,Demand No. 68,15565.97
2022,2022-2023,Revised Estimates,Demand No. 64,15293.07
2022,2022-2023,Budget Estimates,Demand No. 46,15163.22
2022,2022-2023,Budget Estimates,Demand No. 95,12642.0
2022,2022-2023,Budget Estimates,Demand No. 98,12016.92
2022,2022-2023,Revised Estimates,Demand No. 46,11868.63
2022,2022-2023,Budget Estimates,Demand No. 13,11678.0
2022,2022-2023,Budget Estimates,Demand No. 79,11205.8
2022,2022-2023,Budget Estimates,Demand No. 27,10676.18
2022,2022-2023,Budget Estimates,Demand No. 8,9899.95
2022,2022-2023,Revised Estimates,Demand No. 95,9779.130000000001
2022,2022-2023,Revised Estimates,Demand No. 79,9573.16
2022,2022-2023,Budget Estimates,Demand No. 51,8976.59
2022,2022-2023,Budget Estimates,Demand No. 76,8737.82
2022,2022-2023,Revised Estimates,Demand No. 8,8358.14
2022,2022-2023,Revised Estimates,Demand No. 3,8171.77
2022,2022-2023,Revised Estimates,Demand No. 27,7803.5
2022,2022-2023,Budget Estimates,Demand No. 11,7690.389999999999
2022,2022-2023,Budget Estimates,Demand No. 3,7435.82
2022,2022-2023,Revised Estimates,Demand No. 71,6820.25
2022,2022-2023,Budget Estimates,Demand No. 30,6803.01
2022,2022-2023,Budget Estimates,Demand No. 71,6787.93
2022,2022-2023,Budget Estimates,Demand No. 29,6750.0
2022,2022-2023,Revised Estimates,Demand No. 51,6682.7699999999995
2022,2022-2023,Revised Estimates,Demand No. 29,6005.7
2022,2022-2023,Revised Estimates,Demand No. 11,5980.66
2022,2022-2023,Revised Estimates,Demand No. 10,5608.41
2022,2022-2023,Revised Estimates,Demand No. 19,5450.0
2022,2022-2023,Budget Estimates,Demand No. 26,5412.01
2022,2022-2023,Revised Estimates,Demand No. 13,5386.73
2022,2022-2023,Budget Estimates,Demand No. 62,5220.86
2022,2022-2023,Budget Estimates,Demand No. 10,5209.4
2022,2022-2023,Budget Estimates,Demand No. 32,5080.44
2022,2022-2023,Revised Estimates,Demand No. 32,4657.28
