FY,FY_StartYear,Stage,Component,Sector,Ministry,Scheme,Allocation_Cr
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,Crop Insurance Scheme,13549.24
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,Interest Subsidy for Short Term Credit to Farmers,21476.93
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,Modified Interest Subvention Scheme (MISS),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,Market Intervention Scheme and Price Support Scheme (MIS-PSS),2288.33
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,Pradhan Mantri Annadata Aay Sanrakshan Yojna (PM-AASHA),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,Distribution of Pulses to State / Union Territories for Welfare Schemes,50.0
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,Promotion of Agricultural Mechanization for in-situ Management of Crop Residue,691.3
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),66825.11
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,Pradhan Mantri Kisan Man Dhan Yojana,39.5
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,"Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs)",427.04
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,Agriculture Infrastructure Fund (AIF),21.43
2021-2022,2021,Actuals,Revenue,Demand No. 1,Department of Agriculture and Farmers Welfare,National Beekeeping Honey Mission (NBHM),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,Agricultural Extension,283.71
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,Agricultural Engineering,54.9
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,Natural Resource Management Institutes including Agro Forestry Research,167.56
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,Climate Resilient Agriculture Initiative,47.0
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,Crop Science,603.28
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,Horticultural Science,181.46
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,National Agricultural Science Fund,42.0
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,Animal Science,257.59
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,Fisheries Science,137.99
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,Agricultural Universities and Institutions,299.94
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,Economic Statistics and Management,27.65
2021-2022,2021,Actuals,Revenue,Demand No. 2,Department of Agricultural Research and Education,National Agricultural Higher Education Project (EAP),224.63
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,R&D projects of Bhabha Atomic Research Centre (BARC),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,R&D projects of Indira Gandhi Centre of Atomic Research (IGCAR),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,R&D projects of Raja Ramanna Centre for Advanced Technology (RRCAT),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,R&D projects of Atomic Minerals Directorate for Exploration and Research (AMDER),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Grants to other Institutions,61.88
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Fuel Recycle Projects (NRB),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Housing Projects,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Improvement/Modifications of Heavy water projects,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Feedstock,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Radiation and Isotopes Project (BRIT),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Nuclear Power Projects,57.27
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Nuclear Fuel Fabrication Projects,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Atomic Energy Regulatory Board Expansion Project,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,R&D projects of Variable Energy Cyclotron Centre (VECC),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Research and Development Projects,6.35
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Industries and Minerals Projects,9.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Fast Reactor Fuel Cycle Projects (FRFCF) Kalpakkam,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 3,Atomic Energy,Nuclear Fuel Inventory,-1732.1
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,Assistance to accredited AYUSH Centres of Excellence in Non Governmental/ Private Sector engaged in AYUSH education/drug Development and Research/ Clinical Research/ Folk Medicine etc,0.02
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,AYUSH and Public Health,0.51
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,"Information, Education and Communication",30.04
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,Promotion of International Cooperation,62.94
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,Re-oreintation Training Programme of AYUSH Personnel/Continuing Medical Education (ROTP/CME),4.8
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,Extra Mural Research Projects through Research Institutes etc.,2.14
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,Champion Services Sector Scheme,19.13
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,Programme on 'Ayurveda-Biology Integrated Health Research',0.0
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,Pradhan Mantri VRIKSH AYUSH Yojana,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,AYURGYAN,4.49
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,Ayurswasthay Yojana,35.0
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,AYUSH Oushadhi Gunvatta evum Uttapadan Samvardhan Yojana (AOGUSY),1.77
2021-2022,2021,Actuals,Revenue,Demand No. 4,Ministry of Ayush,"Central Sector Scheme for Conservation, Development and Sustainable Management of Medicinal Plants",31.3
2021-2022,2021,Actuals,Revenue,Demand No. 5,Department of Chemicals and Petrochemicals,Chemical Promotion and Development Scheme,3.14
2021-2022,2021,Actuals,Revenue,Demand No. 5,Department of Chemicals and Petrochemicals,Promotion of Petrochemicals,51.57
2021-2022,2021,Actuals,Revenue,Demand No. 5,Department of Chemicals and Petrochemicals,New Schemes of Petrochemicals,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 6,Department of Fertilisers,Urea Subsidy,100988.13
2021-2022,2021,Actuals,Revenue,Demand No. 6,Department of Fertilisers,Nutrient Based Subsidy,52769.97
2021-2022,2021,Actuals,Revenue,Demand No. 6,Department of Fertilisers,Scheme for promotion of flagging of merchant ships in India,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 7,Department of Pharmaceuticals,National Institutes of Pharmaceutical Education and Research (NIPERs),350.0
2021-2022,2021,Actuals,Revenue,Demand No. 7,Department of Pharmaceuticals,Jan Aushadhi Scheme,68.5
2021-2022,2021,Actuals,Revenue,Demand No. 7,Department of Pharmaceuticals,Development of Pharmaceutical Industry,157.08
2021-2022,2021,Actuals,Revenue,Demand No. 7,Department of Pharmaceuticals,Consumer Awareness Publicity and Price Monitoring,2.81
2021-2022,2021,Actuals,Revenue,Demand No. 7,Department of Pharmaceuticals,Development of Pharmaceutical Indsutry,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 7,Department of Pharmaceuticals,Production Linked Incentive Schemes,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 8,Ministry of Civil Aviation,Regional Connectivity Scheme,980.27
2021-2022,2021,Actuals,Revenue,Demand No. 8,Ministry of Civil Aviation,Purchase of two new aircraft for Special Extra Section Flight operations.,129.89
2021-2022,2021,Actuals,Revenue,Demand No. 8,Ministry of Civil Aviation,Air India Asset Holding Limited (SPV),1378.0
2021-2022,2021,Actuals,Revenue,Demand No. 8,Ministry of Civil Aviation,Krishi Udaan Scheme,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 8,Ministry of Civil Aviation,Production Linked Incentive (PLI) Scheme for Drone and Drone Component,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 9,Ministry of Coal,Research and Development,8.35
2021-2022,2021,Actuals,Revenue,Demand No. 9,Ministry of Coal,"Conservation, Safety and Infrastructure Development in Coal Mines",62.68
2021-2022,2021,Actuals,Revenue,Demand No. 9,Ministry of Coal,Exploration of Coal and Lignite,425.05
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Agricultural Product Export Development Authority (APEDA),85.0
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Marine Product Export Development Authority (MPEDA),126.05
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Trade Infrastructure for Export Schemes (TIES),74.99
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Duty Drawback Scheme,234.07
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Tea Board,157.37
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Coffee Board,164.57
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Rubber Board,263.95
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Spices Board,115.5
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Market Access Initiative,140.0
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,National Export Insurance Account,744.0
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Gems and Jewellery Sector,7.59
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Investment in ECGC (Export Credit Guarantee Corporation),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Interest Equalisation Scheme,3487.97
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Project Development Fund,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Champion Service Sector Scheme on Transportation and Logistics,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Centre For Research on International Trade-CRIT (Centre for WTO Studies),21.0
2021-2022,2021,Actuals,Revenue,Demand No. 10,Department of Commerce,Transport and Marketing Assistance (TMA) Scheme for specified agriculture products,249.99
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Indian Leather Development Programme (ILDP),228.46
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Footwear, Leather and Accessories Development Programme (FLADP)",0.0
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Industrial Infrastructure Upgradation Scheme (IIUS),2.71
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Price and Production Statistics,17.25
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,National Industrial Corridor Development and Implementation Trust (NICDIT),859.1
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Exhibition-Cum-Convention Centre, Dwarka",0.0
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Scheme for Investment Promotion,202.47
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Fund of Funds,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Credit Guarantee Fund,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Startup India,20.18
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Startup India Seed Fund Scheme (SISFS),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Ease of Doing Business,9.13
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Production Linked Incentive Scheme (PLI) for White Goods (ACs and LED Lights),1.18
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,North Eastern Industrial and Investment Promotion Policy (NEIPP),180.0
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,North East Industrial Development Scheme (NEIDS) 2017,30.0
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Transport/Freight Subsidy Scheme,382.95
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Package for Special Catagory States for Jammu and Kashmir,  Himachal Pradesh and Uttarakhand",28.33
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme, 2017 for Union Territory of Jammu & Kashmir and Union Territory of Ladakh",43.41
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Industrial Development Scheme for Himachal Pradesh & Uttarakhand, 2017",131.9
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Industrial Development of UT of Jammu and Kashmir,1.79
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,"Industrial Development of Ladakh, 2022",0.0
2021-2022,2021,Actuals,Revenue,Demand No. 11,Department for Promotion of Industry and Internal Trade,Refund of Central and Integrated GST to Industrial Units in North Eastern Region and Himalayan States,3904.3
2021-2022,2021,Actuals,Revenue,Demand No. 12,Department of Posts,Postal Operation,294.32
2021-2022,2021,Actuals,Revenue,Demand No. 12,Department of Posts,Financial Services,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 12,Department of Posts,India Post Payments Bank,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 12,Department of Posts,Human Resource Management,11.8
2021-2022,2021,Actuals,Revenue,Demand No. 12,Department of Posts,Estates Management,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Compensation to Service Providers for creation and augmentation of telecom infrastructure,8300.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Optical Fibre Cable based network for Defence Services,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Domestic Industry Incentivisation Scheme,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Wireless Planning and Coordination,54.38
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Telecom Engineering Centre,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Technology Development and  Investment Promotion,2.96
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Construction of  Office Building,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Telecom Testing and Security Certification Centre,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Telecom Computer Emergency Response Team(T-Cert),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Central Equipments Identity Register (CEIR),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Funding to BSNL for providing Telecom Connectivity for Amarnath Yatra,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,5G Connectivity Test Bed,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Champion Services Sector Scheme,8.56
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Production Linked Incentive (PLI) Scheme to Promote Telecom and Networking Products Manufacturing in India,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 13,Department of Telecommunications,Digital Intelligence Unit Project,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 14,Department of Consumer Affairs,Price Stabilisation Fund,2030.83
2021-2022,2021,Actuals,Revenue,Demand No. 14,Department of Consumer Affairs,CONFONET,32.0
2021-2022,2021,Actuals,Revenue,Demand No. 14,Department of Consumer Affairs,Consumer Awareness (Advertising and Publicity),7.84
2021-2022,2021,Actuals,Revenue,Demand No. 14,Department of Consumer Affairs,Consumer Helplines,0.4
2021-2022,2021,Actuals,Revenue,Demand No. 14,Department of Consumer Affairs,Consumer Protection Cell,6.55
2021-2022,2021,Actuals,Revenue,Demand No. 14,Department of Consumer Affairs,Price Monitoring Structure,1.44
2021-2022,2021,Actuals,Revenue,Demand No. 14,Department of Consumer Affairs,"Strengthening Consumer Forum, Consumer Counseling and Mediation",2.79
2021-2022,2021,Actuals,Revenue,Demand No. 14,Department of Consumer Affairs,Bureau of Indian Standard,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 14,Department of Consumer Affairs,National Test House,9.16
2021-2022,2021,Actuals,Revenue,Demand No. 14,Department of Consumer Affairs,Strengthening of Weights and Measures Infrastructure and Strengthening of Regional Reference Standard Laboratories and Indian Institute of Legal Metrology,2.5
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Food Subsidy  to Food Corporation of India under National Food Security Act.,208929.0
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Food Subsidy for Decentralized Procurement of Foodgrains under NFSA,79789.54
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Sugar Subsidy payable under Public Distribution System,250.0
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Assistance to State Agencies for intra-state movement of foodgrains and FPS dealers margin under NFSA,6000.0
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Scheme for Assistance to Sugar Mills for 2018-19 season,122.18
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Scheme for Creation and Maintenance of Buffer Stock of 40 LMT of Sugar,607.7
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Scheme for Creation and Maintenance of Buffer Stock of Sugar,96.04
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Scheme for Assistance to Sugar Mills for 2019-20 season,2120.86
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Scheme for extending financial assistance to sugar mills for enhancement and augmentation of ethanol production capacity,160.0
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,"Scheme for defraying expenditure towards internal transport, freight, handling and other charges on export",3.1
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,"Scheme for providing assistance to Sugar Mills for expenses on marketing costs including handling, upgrading and other processing costs and costs of international and internal transport and freight charges on export of sugar",3477.62
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Schemes for Development of Sugar Industries,22.0
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Strengthening of PDS Operations,0.87
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Integrated Management of Public Distribution System,23.76
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Storage and Godowns,1.22
2021-2022,2021,Actuals,Revenue,Demand No. 15,Department of Food and Public Distribution,Actual Recoveries,-0.54
2021-2022,2021,Actuals,Revenue,Demand No. 16,Ministry of Cooperation,Integrated Scheme on Agriculture Cooperation (ISAC),0.0
2021-2022,2021,Actuals,Revenue,Demand No. 16,Ministry of Cooperation,Cooperative Credit Guarantee Fund,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 16,Ministry of Cooperation,Co-operative Education,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 16,Ministry of Cooperation,Cooperative Training,0.0
2021-2022,2021,Actuals,Revenue,Demand No. 17,Ministry of Corporate Affairs,Champion Service Sector Scheme on Accounting and Finance Services,0.0
